RUT_CLIENTE;RAZON_SOCIAL;TELEFONO;DIRECCION;COMUNA;CIUDAD;EMAIL;INFO;MONTO_CREDITO;CLASIFICACION;ZONA;ID_TIPO_CLIENTE;CONDICION_DE_VENTA;GIRO;ID_ACTIVIDAD_COMERCIAL;RUT_CLIENTE_PADRE
91489000-4;FINNING CHILE S.A.;2229277000;AV. LOS JARDINES 924, CIUDAD EMPRESARIAL;HUECHURABA;SANTIAGO;MEDIOS@FINNING.COM;IMPORTACION, DISTRIBUCION Y SERVICIOS DE ARRENDAMIENTO DE MAQUINARIA Y/O EQUIPOS;1;IMPORTACION, DISTRIBUCION Y SERVICIOS DE ARRENDAMIENTO DE MAQUINARIA Y/O EQUIPOS;METROPOLITANA;2;1;IMPORTACION, DISTRIBUCION Y SERVICIOS DE ARRENDAMIENTO DE MAQUINARIA Y/O EQUIPOS;5;
96967010-0;MAQUINARIAS Y EQUIPOS MAQSA S.A;2224229600;CAMINO MIRAFLORES S/N PARCELA 5 ;PUDAHUEL;SANTIAGO;RECEPCION@MAQSA.CL;ARRIENDO, COMERCIALIZACION Y PRESTACION DE SERVICIOS DE EQUIPOS Y MAQUINARIAS;1;ARRIENDO, COMERCIALIZACION Y PRESTACION DE SERVICIOS DE EQUIPOS Y MAQUINARIAS;METROPOLITANA;2;1;ARRIENDO, COMERCIALIZACION Y PRESTACION DE SERVICIOS DE EQUIPOS Y MAQUINARIAS;5;
77591550-1;MOTORMAN S.A.;2224356666;AV. AMERICO VESPUCIO 1383, PARQUE INDUSTRIAL ENEA;PUDAHUEL;SANTIAGO;RECEPCIONMOTORMAN@MOTORMAN.CL;VENTA, ARRIENDO, SERVICIOS Y REPUESTOS DE MAQUINARIA;1;VENTA, ARRIENDO, SERVICIOS Y REPUESTOS DE MAQUINARIA;METROPOLITANA;2;1;VENTA, ARRIENDO, SERVICIOS Y REPUESTOS DE MAQUINARIA;5;
76140580-2;PROMEC S.A;2229557869;AUGUSTO LEGUIA SUR 79 OF. 1210;LAS CONDES;SANTIAGO;AGERENCIA@PROMEC.CL;SERVICIOS DE INGENIERIA Y ARRIENDO DE MAQUINARIA PARA LA MINERIA, FORTIFICACION MINERA;1;SERVICIOS DE INGENIERIA Y ARRIENDO DE MAQUINARIA PARA LA MINERIA, FORTIFICACION MINERA;METROPOLITANA;2;1;SERVICIOS DE INGENIERIA Y ARRIENDO DE MAQUINARIA PARA LA MINERIA, FORTIFICACION MINERA;5;
76436270-5;RENTA EQUIP CHILE LTDA.;2227829200;AV. JOSE PEDRO ALESSANDRI 979;¥U¥OA;SANTIAGO;RENTAEQUIP@LANZCO.CL;ARRIENDO DE MAQUINARIAS PARA LA CONSTRUCCION, EQUIPOS DE COMPACTACION Y GRUPOS GENERADORES;1;ARRIENDO DE MAQUINARIAS PARA LA CONSTRUCCION, EQUIPOS DE COMPACTACION Y GRUPOS GENERADORES;METROPOLITANA;2;1;ARRIENDO DE MAQUINARIAS PARA LA CONSTRUCCION, EQUIPOS DE COMPACTACION Y GRUPOS GENERADORES;5;
96777170-8;SK RENTAL S.A;2228373500;PANAMERICANA NORTE 15,800;LAMPA;SANTIAGO;VENTAS@SKRENTAL.CL;ARRIENDO DE MAQUINARIAS;1;ARRIENDO DE MAQUINARIAS;METROPOLITANA;2;1;ARRIENDO DE MAQUINARIAS;5;
76185698-7;SOCIEDAD HORMIGONES PETRON S.A.;2227787575;APOSTOL SANTIAGO 250;ESTACION CENTRAL;SANTIAGO;RECEPCION@PETRON.CL;ARRIENDO DE MAQUINARIA;1;ARRIENDO DE MAQUINARIA;METROPOLITANA;2;1;ARRIENDO DE MAQUINARIA;5;
81151200-1;AMSTER S.A.;2229633900;CERRO SAN CRISTOBAL 9600;QUILICURA;SANTIAGO;AMSTER@AMSTER.CL;VENTA AL POR MAYOR DE PRODUCTOS QUIMICOS;1;VENTA AL POR MAYOR DE PRODUCTOS QUIMICOS;METROPOLITANA;2;1;VENTA AL POR MAYOR DE PRODUCTOS QUIMICOS;5;
79661680-6;INGENIERIA EN PLASTICOS Y METALES S.A.;2228921050;CAMINO LA VARA 03800;SAN BERNARDO;SANTIAGO;HSEPULVEDA@IPM.CL;FABRICACION Y COMERCIALIZACION DE ARTICULOS PLASTICOS Y METALICOS;1;FABRICACION Y COMERCIALIZACION DE ARTICULOS PLASTICOS Y METALICOS;METROPOLITANA;2;1;FABRICACION Y COMERCIALIZACION DE ARTICULOS PLASTICOS Y METALICOS;5;
76411929-0;NUEVA ANCOR TECMIN S.A.;2225106000;AV. LA DIVISA 01011;SAN BERNARDO;SANTIAGO;INFO@ANCORTECMIN.COM;FABRICACION, COMERCIALIZACION Y EXPORTACION DE PRODUCTOS ANTICORROSIVOS;1;FABRICACION, COMERCIALIZACION Y EXPORTACION DE PRODUCTOS ANTICORROSIVOS;METROPOLITANA;2;1;FABRICACION, COMERCIALIZACION Y EXPORTACION DE PRODUCTOS ANTICORROSIVOS;5;
80919500-7;SIDEPLA S.A.;2227453673;CAMINO EL OTO¥O 11 PANAMERICANA NORTE KM. 22;LAMPA;SANTIAGO;GCOMERCIAL@SIDEPLA.CL;PLASTICOS;1;PLASTICOS;METROPOLITANA;2;1;PLASTICOS;5;
77820360-K;SILOKS;2229633918;CERRO LOS CONDORES 131;QUILICURA;SANTIAGO;SILOKS@SILOKS.CL;VENTAS AL POR MAYOR DE PRODUCTOS QUIMICOS;1;VENTAS AL POR MAYOR DE PRODUCTOS QUIMICOS;METROPOLITANA;2;1;VENTAS AL POR MAYOR DE PRODUCTOS QUIMICOS;5;
76063753-K;TUBOS Y PLASTICOS TIGRE - ADS DE CHILE LIMITADA;2224130000;PANAMERICANA NORTE 20500;LAMPA;SANTIAGO;TIGRE-ADSCHILE@TIGRE-ADS.COM;EXPORTACION, IMPORTACION, FABRICACION, COMPRA, VENTA Y DISTRIBUCION DE TUBOS PLASTICOS;1;EXPORTACION, IMPORTACION, FABRICACION, COMPRA, VENTA Y DISTRIBUCION DE TUBOS PLASTICOS;METROPOLITANA;2;1;EXPORTACION, IMPORTACION, FABRICACION, COMPRA, VENTA Y DISTRIBUCION DE TUBOS PLASTICOS;5;
87006000-9;VINILIT S.A;2225924000;AV. JORGE ALESSANDRI RODRIGUEZ 10900;SAN BERNARDO;SANTIAGO;INFO@ALIAXIS-LA.COM;INDUSTRIA DE PLASTICOS;1;INDUSTRIA DE PLASTICOS;METROPOLITANA;2;1;INDUSTRIA DE PLASTICOS;5;
61106000-9;ASMAR;322260000;PRAT 856 PISO 13;VALPARAISO;VALPARAISO;JVARELA@ASMARCORP.CL;CONSTRUCCION Y REPARACION DE BUQUES ASTILLEROS;1;CONSTRUCCION Y REPARACION DE BUQUES ASTILLEROS;METROPOLITANA;2;1;CONSTRUCCION Y REPARACION DE BUQUES ASTILLEROS;5;
99570740-3;ALWOPLAST S.A.;632203200;CAMINO A NIEBLA S/N KM 8 1/2, SECTOR ESTANCILLA;VALDIVIA;VALDIVIA;RRPP@ALWOPLAST.CL;ASTILLEROS - MARINA - AERONAUTICA;1;ASTILLEROS - MARINA - AERONAUTICA;LOS RIOS;2;1;ASTILLEROS - MARINA - AERONAUTICA;5;
94283000-9;ASTILLEROS ARICA S.A;582572040;MAXIMO LIRA 1099;ARICA;ARICA;AASA@ASTILLEROSARICA.CL;CONSTRUCCION Y REPARACION DE NAVES;1;CONSTRUCCION Y REPARACION DE NAVES;ARICA;2;1;CONSTRUCCION Y REPARACION DE NAVES;5;
92541000-4;ASTILLEROS MARCO CHILENA LTDA.;572532500;RECINTO PORTUARIO S/N;IQUIQUE;IQUIQUE;GERENCIA@ASTILLEROSMARCO.CL;CONSTRUCCION NAVAL Y REPARACION DE BARCOS PESQUEROS, FABRICANTE EQUIPOS SISTEMAS BOMBEO;1;CONSTRUCCION NAVAL Y REPARACION DE BARCOS PESQUEROS, FABRICANTE EQUIPOS SISTEMAS BOMBEO;TARAPACA;2;1;CONSTRUCCION NAVAL Y REPARACION DE BARCOS PESQUEROS, FABRICANTE EQUIPOS SISTEMAS BOMBEO;5;
96533060-7;ASTILLEROS MARCO S.A;412543331;JUAN MACAYA 136;TALCAHUANO;TALCAHUANO;YESPINOZA@ASTILLEROSMARCO.CL;ASTILLEROS;1;ASTILLEROS;BIO - BIO;2;1;ASTILLEROS;5;
84009400-6;ASTILLEROS Y SERVICIOS NAVALES S.A.;2222741515;FIDEL OTEIZA 1956 PISO 13;PROVIDENCIA;SANTIAGO;GEREN.SCL@ASENAV.CL;ASTILLEROS;1;ASTILLEROS;METROPOLITANA;2;1;ASTILLEROS;5;
81271100-8;DETROIT CHILE S.A.;2224408500;BARON DE JURAS REALES 5250;CONCHALI;SANTIAGO;DETROIT@DETROIT.CL;IMPORTADORA Y DISTRIBUIDORA DE REPUESTOS;1;IMPORTADORA Y DISTRIBUIDORA DE REPUESTOS;METROPOLITANA;2;1;IMPORTADORA Y DISTRIBUIDORA DE REPUESTOS;5;
96327000-3;MAESTRANZAS NAVALES S.A;522315200;CANAL BEAGLE S/N (ESQ. ARTURO PRAT);CALDERA;CALDERA;YBARRIENTOS@MNAVALES.CL;ASTILLEROS Y CONSTRUCCION NAVAL;1;ASTILLEROS Y CONSTRUCCION NAVAL;ATACAMA;2;1;ASTILLEROS Y CONSTRUCCION NAVAL;5;
79760620-0;MAS LTDA.;652258297;CAMINO A CHINQUIHUE KM 8;PUERTO MONTT;PUERTO MONTT;SITECNA@SITECNA.CL;EMBARCACIONES DE ALUMINIO;1;EMBARCACIONES DE ALUMINIO;LOS LAGOS;2;1;EMBARCACIONES DE ALUMINIO;5;
78256500-1;SITECNA LTDA. ;652258297;CHINQUIHUE KM 8;PUERTO MONTT;PUERTO MONTT;SITECNA@SITECNA.CL;ASESORIAS Y SERVICIOS INDUSTRIALES Y NAVALES;1;ASESORIAS Y SERVICIOS INDUSTRIALES Y NAVALES;LOS LAGOS;2;1;ASESORIAS Y SERVICIOS INDUSTRIALES Y NAVALES;5;
87806400-3;SOCIBER LTDA.;323142000;BLANCO 1199 PISO 9;VALPARAISO;VALPARAISO;NHERNANDEZ@SOCIBER.CL;REPARADORES NAVALES;1;REPARADORES NAVALES;VALPARAISO;2;1;REPARADORES NAVALES;5;
92434000-2;BESALCO S.A.;2223380800;EBRO 2705;LAS CONDES;SANTIAGO;BESALCO@BESALCO.CL;CONSTRUCCION DE OBRAS CIVILES Y MONTAJES;1;CONSTRUCCION DE OBRAS CIVILES Y MONTAJES;METROPOLITANA;2;1;CONSTRUCCION DE OBRAS CIVILES Y MONTAJES;5;
81811900-3;CERAMICA BATUCO S.A.;2228433787;AV. ITALIA 750, BATUCO;LAMPA;SANTIAGO;AVALENZUELA@CERAMICABATUCO.CL;OBRAS DE INGENIERIA;1;OBRAS DE INGENIERIA;METROPOLITANA;2;1;OBRAS DE INGENIERIA;5;
80207900-1;CLARO, VICU¥A, VALENZUELA S.A.;2224872000;CERRO EL PLOMO 5420 PISO 10;LAS CONDES;SANTIAGO;CENTRAL@CVV.CL;CONSTRUCTORA - OBRAS DE INGENIERIA;1;CONSTRUCTORA - OBRAS DE INGENIERIA;METROPOLITANA;2;1;CONSTRUCTORA - OBRAS DE INGENIERIA;5;
96786880-9;SACYR CHILE S.A.;2223556800;AV. ISIDORA GOYENECHEA 2800 OF. 2401 PISO 24 EDIFICIO TITANIUM;LAS CONDES;SANTIAGO;MCONTRERAS@SACYR.CL;CONSTRUCCION, OBRAS PUBLICAS EN GENERAL;1;CONSTRUCCION, OBRAS PUBLICAS EN GENERAL;METROPOLITANA;2;1;CONSTRUCCION, OBRAS PUBLICAS EN GENERAL;5;
77557430-5;SALES DE MAGNESIO LIMITADA;2224252164;LOS MILITARES 4290 PISO 12;LAS CONDES;SANTIAGO;VENTAS@SALMAG.COM;COMERCIALIZACION DE SALES DE MAGNESIO;1;COMERCIALIZACION DE SALES DE MAGNESIO;METROPOLITANA;2;1;COMERCIALIZACION DE SALES DE MAGNESIO;5;
99510510-1;SOCIEDAD DE CONSTRUCTORES TENSACON S.A.;2228251906;PANAMERICANA SUR KM 40 CALETERA ORIENTE;PAINE;SANTIAGO;TENSACON@TENSACON.CL;OBRAS DE INGENIERIA;1;OBRAS DE INGENIERIA;METROPOLITANA;2;1;OBRAS DE INGENIERIA;5;
77976130-4;CONSTRUCCIONES INTERMODULARES LTDA.;322795300;PRIMERA SUR 272 PLACILLA DE PE¥UELAS;VALPARAISO;VALPARAISO;SLOPEZ@INTERMODAL.CL;CONSTRUCCIONES MODULARES;1;CONSTRUCCIONES MODULARES;VALPARAISO;2;1;CONSTRUCCIONES MODULARES;5;
96521440-2;ABENGOA CHILE S.A.;2224614990;LAS ARAUCARIAS 9130;QUILICURA;SANTIAGO;ABENGOA@ABENGOA.COM;CONSTRUCCIONES ELECTROMECANICAS;1;CONSTRUCCIONES ELECTROMECANICAS;METROPOLITANA;2;1;CONSTRUCCIONES ELECTROMECANICAS;5;
87658500-6;AGELEC LTDA.;2226991325;JOSE MIGUEL CARRERA 568;SANTIAGO;SANTIAGO;AGELEC@AGELEC.CL;INGENIERIA ELECTRICA;1;INGENIERIA ELECTRICA;METROPOLITANA;2;1;INGENIERIA ELECTRICA;5;
84716400-K;B. BOSCH S.A.;2226208700;AV. AMERICO VESPUCIO NORTE 2150;QUILICURA;SANTIAGO;COMERCIAL@BBOSCH.CL;INGENIERIA Y CONSTRUCCION, MAESTRANZA, FERRETERIA ELECTRICA, GALVANIZACION, MANTENIMIENTO;1;INGENIERIA Y CONSTRUCCION, MAESTRANZA, FERRETERIA ELECTRICA, GALVANIZACION, MANTENIMIENTO;METROPOLITANA;2;1;INGENIERIA Y CONSTRUCCION, MAESTRANZA, FERRETERIA ELECTRICA, GALVANIZACION, MANTENIMIENTO;5;
96813520-1;CHILQUINTA ENERGIA S.A.;322452000;AV. ARGENTINA 1 PISO 9 EDIFICIO PLAZA BARON;VALPARAISO;VALPARAISO;;VENTA Y DISTRIBUCION DE ENERGIA ELECTRICA;1;VENTA Y DISTRIBUCION DE ENERGIA ELECTRICA;METROPOLITANA;2;1;VENTA Y DISTRIBUCION DE ENERGIA ELECTRICA;5;
96682630-4;CLAS INGENIERIA ELECTRICA E INVERSIONES S.A.;2223988100;AV. EINSTEIN 1153;RECOLETA;SANTIAGO;CLASMAIL@CLAS.CL;IMPORTACION, EXPORTACION DISTRIBUCION Y FABRICACION DE ARTICULOS PARA INGENIERIA ELECTRICA;1;IMPORTACION, EXPORTACION DISTRIBUCION Y FABRICACION DE ARTICULOS PARA INGENIERIA ELECTRICA;METROPOLITANA;2;1;IMPORTACION, EXPORTACION DISTRIBUCION Y FABRICACION DE ARTICULOS PARA INGENIERIA ELECTRICA;5;
79550730-2;COMERCIAL LARRAIN S.A.;2222747507;AV. PEDRO DE VALDIVIA 3637, CASA MATRIZ;¥U¥OA;SANTIAGO;GERENCIA@COMLARRAIN.CL;DISTRIBUIDORA DE MATERIALES PARA LA CONSTRUCCION Y ELECTRICOS;1;DISTRIBUIDORA DE MATERIALES PARA LA CONSTRUCCION Y ELECTRICOS;METROPOLITANA;2;1;DISTRIBUIDORA DE MATERIALES PARA LA CONSTRUCCION Y ELECTRICOS;5;
96840500-4;CONELSE MONTAJES ELECTRICOS LTDA.;2227192100;AV. LOS LEONES 2532 OF 401;PROVIDENCIA;SANTIAGO;INGENIERIA@CONELSE.CL;INGENIERIA Y MONTAJES INDUSTRIALES;1;INGENIERIA Y MONTAJES INDUSTRIALES;METROPOLITANA;2;1;INGENIERIA Y MONTAJES INDUSTRIALES;5;
79538350-6;CONSTRUCTORA GARDILCIC LTDA;2224372800;AV. AMERICA VESPUCIO NORTE 2880 PISO 12;CONCHALI;SANTIAGO;VARAYA@GARDILCIC.CL;CONSTRUCCION Y EXPLOTACION DE MINAS;1;CONSTRUCCION Y EXPLOTACION DE MINAS;METROPOLITANA;2;1;CONSTRUCCION Y EXPLOTACION DE MINAS;5;
77330120-4;DESSAU CHILE INGENIERIA S.A.;2225190800;AV. RICARDO LYON 222 PISO 2;PROVIDENCIA;SANTIAGO;CONTACTO@DESSAU.CL; SERVICIOS DE INGENIERIA, GESTION, ADMINISTRACION E INSPECCION DE PROYECTOS;1; SERVICIOS DE INGENIERIA, GESTION, ADMINISTRACION E INSPECCION DE PROYECTOS;METROPOLITANA;2;1; SERVICIOS DE INGENIERIA, GESTION, ADMINISTRACION E INSPECCION DE PROYECTOS;5;
85841900-9;EDAPI S.A;2223752600;AV. CHILE ESPA¥A 414;¥U¥OA;SANTIAGO;INFO@EDAPI.CL;SERVICIO TECNICO Y SUMINISTROS COMPUTACIONALES;1;SERVICIO TECNICO Y SUMINISTROS COMPUTACIONALES;METROPOLITANA;2;1;SERVICIO TECNICO Y SUMINISTROS COMPUTACIONALES;5;
79658640-0;ELEC - CHILE LTDA.;2227567400;PILOTO LAZO 235;CERRILLOS;SANTIAGO;VENTAS@ELEC.CL;LUMINARIAS Y EQUIPOS ELECTRICOS - FABRICACION Y COMERCIALIZACION DE LAMPARAS Y EQUIPOS DE ILUMINACION;1;LUMINARIAS Y EQUIPOS ELECTRICOS - FABRICACION Y COMERCIALIZACION DE LAMPARAS Y EQUIPOS DE ILUMINACION;METROPOLITANA;2;1;LUMINARIAS Y EQUIPOS ELECTRICOS - FABRICACION Y COMERCIALIZACION DE LAMPARAS Y EQUIPOS DE ILUMINACION;5;
85152100-K;ELECTRICIDAD M. LOMUSCIO E HIJOS LTDA.;722221460;SAN MARTIN 576;RANCAGUA;RANCAGUA;WWW.LOMUSCIO.CL;ELECTRICIDAD INDUSTRIAL, MAQUINARIAS, HERRAMIENTAS, LAMPARAS, ELECTRODOMESTICOS;1;ELECTRICIDAD INDUSTRIAL, MAQUINARIAS, HERRAMIENTAS, LAMPARAS, ELECTRODOMESTICOS;REGION DEL LIBERTADOR GNRAL BERNARDO O'HIGGINS;2;1;ELECTRICIDAD INDUSTRIAL, MAQUINARIAS, HERRAMIENTAS, LAMPARAS, ELECTRODOMESTICOS;5;
96635610-3;ELECTRIVAL S.A;612244491;AV. PRESIDENTE IBA¥EZ 05757;PUNTA ARENAS;PUNTA ARENAS;VENTAS@ELECTRIVAL.CL;ELECTRICIDAD GENERAL;1;ELECTRICIDAD GENERAL;MAGALLANES Y ANTARTICA CHILENA;2;1;ELECTRICIDAD GENERAL;5;
76805480-0;EPELEC S.A.;2226882258;YUNGAY 2374;SANTIAGO;SANTIAGO;IPLAUT@EPELEC.CL;INGENIERIA ELECTRICA - MONTAJES ELECTRICOS;1;INGENIERIA ELECTRICA - MONTAJES ELECTRICOS;METROPOLITANA;2;1;INGENIERIA ELECTRICA - MONTAJES ELECTRICOS;5;
77760300-0;FIGUEROA Y DIAZ INGENIEROS ASOCIADOS S.A;2224320200;SANTA MAGDALENA 75 OF. 710;PROVIDENCIA;SANTIAGO;FDA@FDA.CL;INGENIERIA;1;INGENIERIA;METROPOLITANA;2;1;INGENIERIA;5;
84303100-5;FERNANDEZ FICA S.A.;2222223581;MUJICA 030;¥U¥OA;SANTIAGO;VENTAS@FERNANDEZFICA.CL;INGENIERIA ELETRICA Y ELECTRONICA;1;INGENIERIA ELETRICA Y ELECTRONICA;METROPOLITANA;2;1;INGENIERIA ELETRICA Y ELECTRONICA;5;
88198500-4;FERROMAN S.A.;2228894600;SANTA ADELA 10200;MAIPU;SANTIAGO;FERROMAN@FERROMAN.CL;REPARACION Y MANTENCION DE MOTORES ELECTRICOS DE ALTA POTENCIA - MEDIA TENSION Y CC;1;REPARACION Y MANTENCION DE MOTORES ELECTRICOS DE ALTA POTENCIA - MEDIA TENSION Y CC;METROPOLITANA;2;1;REPARACION Y MANTENCION DE MOTORES ELECTRICOS DE ALTA POTENCIA - MEDIA TENSION Y CC;5;
84071600-7;FLEISCHMANN CHILE S.A;2223934002;AV. FRESIA 1921;RENCA;SANTIAGO;PROYECTOS@FLEISCHMANN.CL;INGENIERIA EN ELECTRICIDAD Y MONTAJE ELECTRICO;1;INGENIERIA EN ELECTRICIDAD Y MONTAJE ELECTRICO;METROPOLITANA;2;1;INGENIERIA EN ELECTRICIDAD Y MONTAJE ELECTRICO;5;
76337774-1;GENERAL ELECTRIC DE CHILE S.P.A.;2226526500;AV. ISIDORA GOYENECHEA 2800 PISO 21 EDIFICIO TITANIUM;LAS CONDES;SANTIAGO;GE.CHILE@GE.COM;COMERCIALIZACION DE PRODUCTOS ELECTRICOS Y DE ILUMINACION;1;COMERCIALIZACION DE PRODUCTOS ELECTRICOS Y DE ILUMINACION;METROPOLITANA;2;1;COMERCIALIZACION DE PRODUCTOS ELECTRICOS Y DE ILUMINACION;5;
76338292-3;GERS POWER;2232013819;AV IRARRAZABAL 2821 OF 1314;¥U¥OA;SANTIAGO;GERS@GERS.CL;SERVICIOS DE INGENIERIA, OBRAS DE INGENIERIA,INGENIERIA ELECTRICA;1;SERVICIOS DE INGENIERIA, OBRAS DE INGENIERIA,INGENIERIA ELECTRICA;METROPOLITANA;2;1;SERVICIOS DE INGENIERIA, OBRAS DE INGENIERIA,INGENIERIA ELECTRICA;5;
92957000-6;H. BRIONES SISTEMAS ELECTRICOS S.A.;2224120791;AV. ANDRES BELLO 2777 PISO 10 EDIFICIO DE LA INDUSTRIA;LAS CONDES;SANTIAGO;HBSE@HBSE.CL;FABRICACION Y REPARACION DE EQUIPOS ELECTRICOS;1;FABRICACION Y REPARACION DE EQUIPOS ELECTRICOS;METROPOLITANA;2;1;FABRICACION Y REPARACION DE EQUIPOS ELECTRICOS;5;
76284144-4;INELMA - GAMMA;2223417931;AV. IRARRAZAVAL 1372;¥U¥OA;SANTIAGO;RSANCHEZEIRL@GMAIL.COM;FABRICA DE TRANSFORMADORES Y ESTABILIZADORES DE VOLTAJE;1;FABRICA DE TRANSFORMADORES Y ESTABILIZADORES DE VOLTAJE;METROPOLITANA;2;1;FABRICA DE TRANSFORMADORES Y ESTABILIZADORES DE VOLTAJE;5;
78862710-6;INGEL LTDA.;552882500;LOS SAUCES 275;ANTOFAGASTA;ANTOFAGASTA;INGEL@INGEL.CL;INGENIERIA Y CONSTRUCCION;1;INGENIERIA Y CONSTRUCCION;ANTOFAGASTA;2;1;INGENIERIA Y CONSTRUCCION;5;
79944590-5;INGENIERIA ADOLFO CARRASCO LTDA.;2226965633;AV. RICARDO CUMMING 13 PISO 5 OF 506;SANTIAGO;SANTIAGO;INAC@MOVISTAR.CL;FABRICACION DE TABLEROS ELECTRICOS E INTEGRACION DE SISTEMAS;1;FABRICACION DE TABLEROS ELECTRICOS E INTEGRACION DE SISTEMAS;METROPOLITANA;2;1;FABRICACION DE TABLEROS ELECTRICOS E INTEGRACION DE SISTEMAS;5;
78131420-K;INGENIERIA DESIMAT LTDA.;2225851200;PUERTO VESPUCIO 9670 PARQUE INDUSTRIAL PUERTO SANTIAGO;PUDAHUEL;SANTIAGO;VENTASCHILE@DESIMAT.CL;INGENIERIA ELECTRICA Y VENTA DE PRODUCTOS ELETRICOS;1;INGENIERIA ELECTRICA Y VENTA DE PRODUCTOS ELETRICOS;METROPOLITANA;2;1;INGENIERIA ELECTRICA Y VENTA DE PRODUCTOS ELETRICOS;5;
76022379-4;INGENIERIA Y CONSTRUCCION ENERGIZA LTDA.;2222125291;MARTIN ALONSO 6020;LAS CONDES;SANTIAGO;CONTACTO@ICENERGIZA.CL;INGENIERIA ELECTRICA;1;INGENIERIA ELECTRICA;METROPOLITANA;2;1;INGENIERIA ELECTRICA;5;
77795790-2;INSPROTEL LTDA.;2227423627;HORACIO ROMAN SALINAS 2030;CERRILLOS;SANTIAGO;INFO@INSPROTEL.CL;INGENIERIA ELECTRICA Y CONSTRUCCION;1;INGENIERIA ELECTRICA Y CONSTRUCCION;METROPOLITANA;2;1;INGENIERIA ELECTRICA Y CONSTRUCCION;5;
99518540-7;JHL ENERGIA CHILE S.A.;2226817800;SAN PABLO 2665;SANTIAGO;SANTIAGO;PROYECTOS@JHLENERGIACHILE.CL;INGENIERIA ELECTRICA ;1;INGENIERIA ELECTRICA ;METROPOLITANA;2;1;INGENIERIA ELECTRICA ;5;
96588850-0;JACOBS CHILE S.A.;2223363500;AV. APOQUINDO 5400 PISO 11;LAS CONDES;SANTIAGO;;OBRAS DE INGENIERIA;1;OBRAS DE INGENIERIA;METROPOLITANA;2;1;OBRAS DE INGENIERIA;5;
77315690-5;MULTICAL INGENIERIA Y CONSTRUCCIONES LTDA.;2226657455;ALMIRANTE RIVEROS 0170;PROVIDENCIA;SANTIAGO;INFO@MULTICAL.CL;INGENIERIA Y CONSTRUCCION;1;INGENIERIA Y CONSTRUCCION;METROPOLITANA;2;1;INGENIERIA Y CONSTRUCCION;5;
78561520-4;METRICA LTDA.;2227153100;AV. ANTONIO VARAS 2460;¥U¥OA;SANTIAGO;METRICA@METRICA.CL;RESPALDO DE ENERGIA UPS - INGENIERIA Y PROYECTOS ELECTRICOS;1;RESPALDO DE ENERGIA UPS - INGENIERIA Y PROYECTOS ELECTRICOS;METROPOLITANA;2;1;RESPALDO DE ENERGIA UPS - INGENIERIA Y PROYECTOS ELECTRICOS;5;
85073200-0;PROGOS LTDA.;2225380514;SANTA ADELA 9540;MAIPU;SANTIAGO;PROGOS@PROGOS.CL;FABRICA DE TRANSFORMADORES Y EQUIPOS ELECTRICOS;1;FABRICA DE TRANSFORMADORES Y EQUIPOS ELECTRICOS;METROPOLITANA;2;1;FABRICA DE TRANSFORMADORES Y EQUIPOS ELECTRICOS;5;
96896480-1;REXEL CHILE S.A.;2227685200;MORANDE 838;SANTIAGO;SANTIAGO;VENTAS@REXEL.CL;VENTAS Y DISTRIBUCION DE MATERIALES ELECTRICOS;1;VENTAS Y DISTRIBUCION DE MATERIALES ELECTRICOS;METROPOLITANA;2;1;VENTAS Y DISTRIBUCION DE MATERIALES ELECTRICOS;5;
96766600-9;SCHWAGER ENERGY S.A;2229642840;AV. DEL PARQUE 4680 - A OF. 301 CIUDAD EMPRESARIAL;HUECHURABA;SANTIAGO;COMUNICACIONES@SCHWAGER.CL;INGENIERIA Y DESARROLLO, GESTION DE INGENIERIA;1;INGENIERIA Y DESARROLLO, GESTION DE INGENIERIA;METROPOLITANA;2;1;INGENIERIA Y DESARROLLO, GESTION DE INGENIERIA;5;
94995000-K;SIEMENS S.A. - CHILE;2224771000;CERRO EL PLOMO 6000 PISO 10;LAS CONDES;SANTIAGO;CONTACTO.CL@SIEMENS.COM;IMPORTACION, INGENIERIA Y SERVICIOS DE ELECTROTECNICA Y ELECTRONICA;1;IMPORTACION, INGENIERIA Y SERVICIOS DE ELECTROTECNICA Y ELECTRONICA;METROPOLITANA;2;1;IMPORTACION, INGENIERIA Y SERVICIOS DE ELECTROTECNICA Y ELECTRONICA;5;
77235870-9;SIMELCO INGENIERIA LTDA;2226339185;SERRANO 848;SANTIAGO;SANTIAGO;SIMELCO@TIE.CL;INGENIERIA DE MONTAJES Y CONSTRUCCIONES;1;INGENIERIA DE MONTAJES Y CONSTRUCCIONES;METROPOLITANA;2;1;INGENIERIA DE MONTAJES Y CONSTRUCCIONES;5;
87634600-1;SOCIEDAD AGRICOLA Y SERVICIO ISLA DE PASCUA SPA;322100549;HOTU-MATUA S/N;HANGA-ROA;ISLA DE PASCUA;GERENCIA@SASIPA.CL;SUMINISTROS BASICOS;1;SUMINISTROS BASICOS;VALPARAISO;2;1;SUMINISTROS BASICOS;5;
77278330-2;SOCIEDAD MINERA , INDUSTRIAL E INMOBILIARIA LTDA.;2224194061;MENDOZA 1762;QUINTA NORMAL;SANTIAGO;MINM@MINM.CL;INGENIERIA Y CONSTRUCCION;1;INGENIERIA Y CONSTRUCCION;METROPOLITANA;2;1;INGENIERIA Y CONSTRUCCION;5;
